Date,VIN,Model,Description,Amount,Category,Investor,Notes
05.07.2025,1,BMW,RTA,170,Car related,Zohirxon,
05.07.2025,1,BMW,Insurance,820,Car related,Zohirxon,
05.07.2025,1,BMW,Plate Number,520,Car related,Zohirxon,
05.07.2025,2,Nissan Maxima,RTA,170,Car related,Doniyor,
06.07.2025,2,Nissan Maxima,Insurance,955,Car related,Doniyor,
07.07.2025,2,Nissan Maxima,Plate Number,520,Car related,Doniyor,
08.07.2025,2,Nissan Maxima,Fixing,30,Car related,Doniyor,
09.07.2025,2,Nissan Maxima,Petrol,50,Car related,Doniyor,
10.07.2025,2,Nissan Maxima,Dubizzle,400,Car related,Doniyor,
11.07.2025,2,Nissan Maxima,Petrol,100,Car related,Doniyor,
12.07.2025,2,Nissan Maxima,Other,50,Car related,Doniyor,
12.07.2025,3,Volkswagen Touareg,RTA,170,Car related,Asad,
12.07.2025,3,Volkswagen Touareg,Insurance,1150,Car related,Asad,
12.07.2025,3,Volkswagen Touareg,plate Number,520,Car related,Asad,
12.07.2025,3,Volkswagen Touareg,Steam wash,160,Car related,Asad,
12.07.2025,3,Volkswagen Touareg,Dubizzle,335,Car related,Asad,
12.07.2025,3,Volkswagen Touareg,Petrol,70,Car related,Asad,
12.07.2025,3,Volkswagen Touareg,Petrol,70,Car related,Asad,
12.07.2025,4,BMW,RTA,170,Car related,Doniyor,
12.07.2025,4,BMW,insurance,820,Car related,Doniyor,
12.07.2025,4,BMW,other,20,Car related,Doniyor,
12.07.2025,4,BMW,plate Number,520,Car related,Doniyor,
12.07.2025,4,BMW,handles,140,Car related,Doniyor,
12.07.2025,4,BMW,gpt,80,Car related,Doniyor,
12.07.2025,4,BMW,gear noise,400,Car related,Doniyor,
13.07.2025,4,BMW,other,100,Car related,Doniyor,
14.07.2025,4,BMW,Steam wash,130,Car related,Doniyor,
14.07.2025,6,Jeep,RTA,170,Car related,Doniyor,
14.07.2025,6,Jeep,insurance,1135,Car related,Doniyor,
14.07.2025,6,Jeep,plate Number,520,Car related,Doniyor,
14.07.2025,6,Jeep,Petrol,100,Car related,Doniyor,
14.07.2025,7,Infiniti,RTA,170,Car related,Zohirxon,
14.07.2025,7,Infiniti,insurance,1150,Car related,Zohirxon,
14.07.2025,7,Infiniti,plate Number,520,Car related,Zohirxon,
14.07.2025,7,Infiniti,Dubizzle,397,Car related,Zohirxon,
14.07.2025,7,Infiniti,salik fine,120,Car related,Zohirxon,
"18,07,2025",5,Tiguan,RTA,170,Car related,Doniyor,
"18,07,2025",5,Tiguan,Insurance,820,Car related,Doniyor,
"18,07,2025",5,Tiguan,Plate Number,490,Car related,Doniyor,
"20,07,2025",,,,9177,Shovkat aka,Doniyor,Shovkat akaga berdim
"20,07,2025",6,Jeep,Polishing,350,Car related,Doniyor,
"21,07,2025",,,,150,Shovkat aka,Doniyor,Shovkat akaga berdim
"21,07,2025",,,Midjourney,35,Website,Doniyor,
22.07.2025,6,Jeep,Dubizle ads,482,Car related,Doniyor,
22.07.2025,7,Infiniti,Salik fines,640,Car related,Zohirxon,
22.07.2025,,,Domain/website/Heyaza,921,,Doniyor,
22.07.2025,6,Jeep,Salik,100,Car related,Doniyor,
25.07.2025,6,Jeep,Petrol,70,Car related,Doniyor,
25.07.2025,6,Jeep,Other,50,Car related,Doniyor,
28.07.2025,6,Jeep,SAC power of attorney ,330,Car related,Doniyor,
28.07.2025,3,Volkswagen Touareg,Salik,100,Car related,Asad,
22.07.2025,,,Асадга VCC MERC.Lincoln,2650,,Doniyor,
01.08.2025,5,Tiguan,Sunroof,1800,Car related,Doniyor,
01.08.2025,,Cruze ,ustaga kraska,1000,,Doniyor,
01.08.2025,,Tesla key,,165,,Doniyor,
01.08.2025,,Heyaza Lexus,,120,,Doniyor,
01.08.2025,,Heyaza Sonata,,120,,Doniyor,
